# Tree file. Optional per-tree attributes (e.g. 'height,crown_radius, ') followed by 'x,y,z,radius' and any additional per-segment attributes:
tree_radius,height,trunk_identified, x,y,z,radius,section_id
3.9088,10.7086,0.0000, 4.9493,1.6257,-0.1250,0.2142,33.0000
3.3851,10.7095,0.0000, -5.8007,-1.1243,-0.1250,0.2142,36.0000
3.2928,9.9982,0.0000, 1.9493,7.6257,-0.1250,0.2000,40.0000
2.9921,11.0496,0.0000, -9.0507,9.6257,-0.1250,0.2210,37.0000
1.6689,4.5720,0.0000, 4.6993,-9.3743,-0.1250,0.0914,20.0000
1.6569,4.7887,0.0000, -8.8007,-8.8743,-0.1250,0.0958,43.0000
1.4860,4.8809,0.0000, 8.4493,-8.3743,-0.1250,0.0976,42.0000
1.4105,5.1915,0.0000, -5.3007,-4.6243,-0.1250,0.1038,10.0000
1.4105,4.4918,0.0000, 0.4493,0.8757,-0.1250,0.0898,41.0000
1.3455,4.6764,0.0000, 2.9493,-6.8743,-0.1250,0.0935,21.0000
1.3231,4.0720,0.0000, -1.5507,-4.8743,-0.1250,0.0814,14.0000
