# tree trunks file:
x,y,z,radius
-8.84468, -7.92466, 0.246536, 0.0610163
-5.68892, 0.288654, 0.0992063, 0.131289
-5.0528, -5.40535, 0.435615, 0.0614886
-1.40092, 5.74179, 0.168539, 0.0648833
0.372222, 7.45959, 0.150114, 0.0689318
9.40922, 1.74626, 0.254951, 0.0503782
-0.646028, -4.87289, 0.125537, 0.0503832
-0.502014, 0.91867, 0.0956757, 0.0575252
3.03104, -6.55697, 0.0980687, 0.0599098
-9.28225, 8.95214, 0.351118, 0.124023
-8.16383, -3.28429, 0.302938, 0.0673398
-3.73703, -3.6052, 0.470005, 0.0652514
2.53499, 4.55342, 0.376003, 0.0679643
4.28804, 0.579173, 0.3865, 0.057419
4.59132, -8.99908, 0.455971, 0.0646757
4.38736, -3.48432, 0.276039, 0.0543656
4.47764, 7.95638, 0.18419, 0.116383
5.8549, 1.53071, 0.342892, 0.0627124
7.13796, 4.55091, 0.344795, 0.118864
8.17442, -7.47488, 0.283683, 0.0687984
